time_step,window_size
0,7
1,28
2,28
3,26
4,25
5,8
6,30
7,30
8,30
9,30
10,17
11,21
12,19
13,12
14,7
15,26
16,30
17,29
18,8
19,12
20,20
21,27
22,29
23,30
24,28
25,16
26,12
27,27
28,27
29,28
30,19
31,30
32,12
33,15
34,8
35,21
36,30
37,21
38,29
39,30
40,30
41,11
42,15
43,23
44,27
45,24
46,30
47,21
48,19
49,29
50,29
51,11
52,8
53,28
54,18
55,7
56,30
57,25
58,7
59,30
60,28
61,29
62,14
63,8
64,8
65,10
66,11
67,9
68,30
69,29
70,13
71,22
72,18
73,28
74,9
75,29
76,7
77,29
78,7
79,20
80,15
81,14
82,28
83,27
84,19
85,7
86,22
87,29
88,9
89,26
90,14
91,22
92,10
